producto;link;metodo
arvejas_en_lata;https://diaonline.supermercadosdia.com.ar/arvejas-secas-remojadas-dia-300-gr-279121/p;dia_kg
arvejas_en_lata;https://diaonline.supermercadosdia.com.ar/arvejas-amarillas-inalpa-300-gr-297970/p;dia_kg
arvejas_en_lata;https://diaonline.supermercadosdia.com.ar/arvejas-secas-remojadas-tarragona-340-gr-47993/p;dia_kg
arvejas_en_lata;https://diaonline.supermercadosdia.com.ar/arvejas-verdes-remojadas-dona-pupa-350-gr-239857/p;dia_kg
lentejas_secas;https://diaonline.supermercadosdia.com.ar/lentejas-remojadas-dia-340-gr-228836/p;dia_kg
lentejas_secas;https://diaonline.supermercadosdia.com.ar/lentejas-secas-remojadas-dia-300-gr-279126/p;dia_kg
lentejas_secas;https://diaonline.supermercadosdia.com.ar/lentejas-montenevi-340-gr-295967/p;dia_kg
azucar;https://diaonline.supermercadosdia.com.ar/azucar-plus-dia-comun-tipo-a-1-kg-130321/p;dia_kg
azucar;https://diaonline.supermercadosdia.com.ar/azucar-la-providencia-1-kg-294967/p;dia_kg
azucar;https://diaonline.supermercadosdia.com.ar/azucar-ledesma-clasica-1-kg-107879/p;dia_kg
azucar;https://diaonline.supermercadosdia.com.ar/azucar-azucel-comun-tipo--a--500-gr-266204/p;dia_kg
dulce_de_batata;https://diaonline.supermercadosdia.com.ar/dulce-de-batata-alco-500gr-295251/p;dia_kg
dulce_de_batata;https://diaonline.supermercadosdia.com.ar/dulce-de-batata-emeth-con-chocolate-500-gr-50790/p;dia_kg
dulce_de_batata;https://diaonline.supermercadosdia.com.ar/dulce-de-batata-emeth-500-gr-50789/p;dia_kg
mermelada;https://diaonline.supermercadosdia.com.ar/mermelada-de-frutilla-delicius-454-gr-287493/p;dia_kg
mermelada;https://diaonline.supermercadosdia.com.ar/mermelada-de-durazno-delicious-454-gr-287492/p;dia_kg
mermelada;https://diaonline.supermercadosdia.com.ar/mermelada-bc-ciruela-390-gr-279723/p;dia_kg
mermelada;https://diaonline.supermercadosdia.com.ar/mermelada-light-sabor-frutilla-arcor-390-gr-102577/p;dia_kg
